1.10.	Rauno				
1.11.	Lyly
1.12.	Oskari				
1.2.	Riitta				
1.3.	Alpi				
1.3.	Alpo				
1.3.	Alvi				
1.4.	Pulmu				
1.4.	Raita				
1.5.	Valpuri				
1.5.	Vappu				
1.6.	Teemu				
1.7.	Aaro				
1.7.	Aaron				
1.8.	Maire	
1.9.	Pirkka			
10.10.	Aleksi				
10.10.	Aleksis				
10.11.	Martti				
10.12.	Jutta	
10.1.	Nyyrikki			
10.2.	Elina				
10.2.	Ella				
10.2.	Ellen				
10.2.	Elna				
10.3.	Aura				
10.3.	Auri				
10.3.	Aurora				
10.4.	Tero				
10.5.	Aina				
10.5.	Aini				
10.5.	Ainikki				
10.5.	Aino	
10.6.	Seppo			
10.7.	Saima				
10.7.	Saimi				
10.8.	Lasse				
10.8.	Lassi				
10.8.	Lauri				
10.9.	Kaleva				
10.9.	Kalevi			
11.1.	Kari				
11.1.	Karri				
11.10.	Ohto				
11.11.	Panu				
11.12.	Daniel				
11.12.	Taneli				
11.12.	Tatu				
11.2.	Talvikki				
11.3.	Kalervo				
11.4.	Verna	
11.5.	Osmo			
11.6.	Immi				
11.6.	Impi				
11.7.	Eleonoora				
11.7.	Elli				
11.7.	Nelli				
11.7.	Noora				
11.8.	Sanna				
11.8.	Sanni				
11.8.	Susanna				
11.8.	Susanne				
11.9.	Aleksandra				
11.9.	Ale				
11.9.	Aleksanteri				
11.9.	Ali				
12.1.	Toini				
12.10.	Aarre				
12.10.	Aarto				
12.11.	Virpi				
12.12.	Tuovi				
12.2.	Elma				
12.2.	Elmi				
12.3.	Reijo				
12.3.	Reko				
12.4.	Julia				
12.4.	Juliaana				
12.4.	Julius				
12.5.	Lotta				
12.6.	Esko				
12.7.	Herkko				
12.7.	Herman				
12.7.	Hermanni				
12.8.	Klaara				
12.9.	Valma				
12.9.	Vilja				
13.10.	Taija				
13.10.	Taina				
13.10.	Tanja				
13.11.	Ano				
13.11.	Kristian				
13.12.	Seija	
13.1.	Nuutti
13.2.	Sulo		
13.3.	Ernesti				
13.3.	Erno				
13.3.	Tarvo				
13.4.	Tellervo				
13.5.	Floora				
13.5.	Kukka				
13.6.	Raila				
13.6.	Raili				
13.7.	Ilari				
13.7.	Joel				
13.7.	Lari				
13.8.	Jesse
13.9.	Orvo			
14.1.	Sakari				
14.1.	Saku				
14.10.	Elsa				
14.10.	Else				
14.10.	Elsi				
14.11.	Iiris				
14.12.	Jouko				
14.2.	Valentin				
14.2.	Voitto				
14.2.	Tino				
14.3.	Matilda				
14.3.	Tilda				
14.4.	Taito				
14.5.	Tuula				
14.6.	Kielo				
14.7.	Aliisa				
14.8.	Kanerva				
14.8.	Onerva				
14.9.	Iida				
15.1.	Solja				
15.10.	Helvi				
15.10.	Heta				
15.11.	Janette				
15.11.	Janika				
15.11.	Janina				
15.11.	Janita				
15.12.	Heimo	
15.2.	Sippo			
15.3.	Risto				
15.4.	Linda				
15.4.	Tuomi				
15.5.	Sofia				
15.5.	Sohvi				
15.5.	Sonja				
15.6.	Viena				
15.6.	Vieno				
15.7.	Rauna				
15.7.	Rauni				
15.8.	Jaana				
15.8.	Marianna				
15.8.	Marianne				
15.8.	Marita				
15.8.	Maritta				
